complex_id,ba_value,ba_measure,ligand_id,protein_id,pdb_id,pdb_lignum,target_chain
davisBC000001,5.585026652,KIKD,davisDC000001,davisPT000001,,###,#
davisBC000002,5.0,KIKD,davisDC000001,davisPT000002,,###,#
davisBC000003,5.0,KIKD,davisDC000001,davisPT000003,,###,#
davisBC000004,5.0,KIKD,davisDC000001,davisPT000004,,###,#
davisBC000005,5.0,KIKD,davisDC000001,davisPT000005,,###,#
davisBC000006,5.0,KIKD,davisDC000001,davisPT000006,,###,#
davisBC000007,5.0,KIKD,davisDC000001,davisPT000007,,###,#
davisBC000008,5.0,KIKD,davisDC000001,davisPT000008,,###,#
davisBC000009,5.366531544,KIKD,davisDC000001,davisPT000009,,###,#
davisBC000010,5.0,KIKD,davisDC000001,davisPT000010,,###,#
davisBC000011,5.0,KIKD,davisDC000001,davisPT000011,,###,#
davisBC000012,5.0,KIKD,davisDC000001,davisPT000012,,###,#
davisBC000013,5.0,KIKD,davisDC000001,davisPT000013,,###,#
davisBC000014,5.0,KIKD,davisDC000001,davisPT000014,,###,#
davisBC000015,5.0,KIKD,davisDC000001,davisPT000015,,###,#
davisBC000016,5.0,KIKD,davisDC000001,davisPT000016,,###,#
davisBC000017,5.301029996,KIKD,davisDC000001,davisPT000017,,###,#
davisBC000018,5.0,KIKD,davisDC000001,davisPT000018,,###,#
davisBC000019,5.0,KIKD,davisDC000001,davisPT000019,,###,#
davisBC000020,5.0,KIKD,davisDC000001,davisPT000020,,###,#
davisBC000021,6.050609993,KIKD,davisDC000001,davisPT000021,,###,#
davisBC000022,5.0,KIKD,davisDC000001,davisPT000022,,###,#
davisBC000023,8.080921908,KIKD,davisDC000001,davisPT000023,,###,#
davisBC000024,5.0,KIKD,davisDC000001,davisPT000024,,###,#
davisBC000025,5.0,KIKD,davisDC000001,davisPT000025,,###,#
davisBC000026,7.823908741,KIKD,davisDC000001,davisPT000026,,###,#
davisBC000027,5.0,KIKD,davisDC000001,davisPT000027,,###,#
