ligand_id,smiles,smiles_length,mw,cid,inchi
davisDC000001,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,59,462.3670000000003,,
davisDC000002,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,78,440.33300000000025,,
davisDC000003,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,46,422.71800000000025,,
davisDC000004,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,66,418.30300000000017,,
davisDC000005,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,38,331.70100000000014,,
davisDC000006,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,65,440.33300000000025,,
davisDC000007,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,53,460.74700000000024,,
davisDC000008,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,63,490.3730000000004,,
davisDC000009,CS(=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1,52,361.3160000000001,,
davisDC000010,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,66,486.3850000000004,,
davisDC000011,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,42,370.2590000000002,,
davisDC000012,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,68,554.8610000000002,,
davisDC000013,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,57,448.70300000000015,,
davisDC000014,CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,51,427.2310000000002,,
davisDC000015,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,70,507.35000000000025,,
davisDC000016,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,42,356.3470000000001,,
davisDC000017,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,62,520.3790000000004,,
davisDC000018,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,46,427.1980000000001,,
davisDC000019,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,55,461.8090000000002,,
davisDC000020,COc1cc2/c(=N\c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,51,451.17000000000013,,
davisDC000021,CN1CCN(C(=O)c2cc3cc(Cl)ccc3[nH]2)CC1,36,261.62699999999995,,
davisDC000022,CCOc1cccc(/C=N/c2ccc(Cl)c([N+](=O)[O-])c2)c1O,45,307.62800000000004,,
davisDC000023,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,59,501.2240000000003,,
