ligand_id,smiles,smiles_length,mw,cid,inchi
kibaDC000001,Cc1ccccc1NC(=O)Nc1ccc(-c2coc3ncnc(N)c23)cc1,43,342.25300000000004,,
kibaDC000002,Cc1ccccc1-c1c(-c2ccc3n[nH]c(N)c3c2)nnn1Cc1ccccc1,48,360.29500000000013,,
kibaDC000003,CC(C)(C(N)=O)n1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,70,505.4090000000003,,
kibaDC000004,Fc1ccc(-c2ccc3nccn3n2)cn1,25,207.14699999999996,,
kibaDC000005,NCCCOc1cc2c(c(-c3ccc(Nc4nc5ccccc5o4)cc3)c1)CNC2=O,49,392.28900000000016,,
kibaDC000006,NC(=O)c1cccc2c1Nc1nnc(Cl)cc1C(=O)N2,35,281.618,,
kibaDC000007,Nc1ncnc2c1c(I)nn2C1CCC(O)CC1,28,345.05900000000014,,
kibaDC000008,Nc1[nH]nc2ccc(-c3cc(Cc4ccccc4)no3)cc12,38,276.214,,
kibaDC000009,O=C1c2c(c3c4ccc(O)cc4n([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,103,580.3360000000002,,
kibaDC000010,COc1ccc(-c2ccc(NC(=O)Nc3ccc(F)c(C)c3)cc2)c2c(N)noc12,52,387.26500000000016,,
kibaDC000011,CCN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccc(C(=O)Nc6ccccc6F)c5)nc5ccccn45)n3)cc2)CC1,75,579.4490000000002,,
kibaDC000012,c1ccc2c(c1)nnn2Cc1cn(-c2ccc3[nH]ncc3c2)nn1,42,304.232,,
kibaDC000013,COc1cccc([C@@H](C)NC(=O)c2ccc(-c3ccncc3)c(F)c2)c1,49,331.24100000000004,,
kibaDC000014,c1cnc2nc(-c3ccc4[nH]ncc4c3)c(NC3CCCCC3)n2c1,43,312.2510000000001,,
kibaDC000015,CCN1CCC(Nc2ccc3c(c2)/C(=C(\c2ccc(Cl)cc2)c2ncc[nH]2)C(=O)N3)CC1,62,421.76200000000017,,
kibaDC000016,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,64,446.36400000000026,,
kibaDC000017,COc1ccc2c(NC(=O)Nc3cccc(Br)n3)ccnc2c1,37,360.106,,
kibaDC000018,N#Cc1ccc(-c2n[nH]c3c2Cc2ccc(OCCN4CCOCC4)cc2-3)cn1,49,366.27500000000015,,
kibaDC000019,Cc1cccc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)c1,50,400.33800000000014,,
