ligand_id,smiles,smiles_length,mw,cid,inchi
pdb_2020_generalDC000001,CC(=O)NC(CCC(=O)O)C(=O)O,24,178.07899999999998,,
pdb_2020_generalDC000002,C[NH2+]CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,39,291.187,,
pdb_2020_generalDC000003,CC(=O)N1CCCC(C)C1,17,126.09399999999998,,
pdb_2020_generalDC000004,CC(=O)Nc1nnc(S(N)(=O)=O)s1,26,216.203,,
pdb_2020_generalDC000005,COC1OC(C)C(O)C(O)C1O,20,164.07199999999997,,
pdb_2020_generalDC000006,[NH3+]C(CF)(Cc1cnc2ccccc12)C(=O)O,33,223.14199999999997,,
pdb_2020_generalDC000007,CSCCC([NH3+])C(=O)O,19,138.12699999999998,,
pdb_2020_generalDC000008,O=P(O)(O)OCC1OC(O)C(O)C(O)C1O,29,247.03099999999995,,
pdb_2020_generalDC000009,O=C(O)CC(O)(CC(=O)O)C(=O)O,26,184.05899999999997,,
pdb_2020_generalDC000010,OCC(O)CO,8,84.03,,
pdb_2020_generalDC000011,C[NH2+]CCCCC([NH3+])C(=O)O,26,144.08899999999997,,
pdb_2020_generalDC000012,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,39,320.12100000000004,,
pdb_2020_generalDC000013,O=C(O)COP(=O)(O)O,17,150.98999999999998,,
pdb_2020_generalDC000014,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,56,491.0540000000003,,
pdb_2020_generalDC000015,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,31,272.179,,
pdb_2020_generalDC000016,[NH3+]C(Cc1cnc2ccccc12)C(=O)O,29,192.13299999999998,,
pdb_2020_generalDC000017,O=C(O)CCC(=O)O,14,112.03999999999998,,
pdb_2020_generalDC000018,N=C(N)NCC([NH3+])C(=O)O,23,136.07,,
pdb_2020_generalDC000019,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,35,317.113,,
pdb_2020_generalDC000020,O=C1OC(C(O)CO)C(O)=C1O,22,168.05999999999997,,
pdb_2020_generalDC000021,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,39,320.12100000000004,,
pdb_2020_generalDC000022,NC(=O)CCC([NH3+])C(=O)O,23,136.06599999999997,,
pdb_2020_generalDC000023,O=C(O)CC(=O)O,13,100.02899999999998,,
pdb_2020_generalDC000024,Nc1ccccc1,9,86.073,,
pdb_2020_generalDC000025,[NH3+]C(CO)(CO)CO,17,110.04799999999999,,
pdb_2020_generalDC000026,CC(=O)C(N)=O,12,82.038,,
pdb_2020_generalDC000027,CC(O)CC(C)(C)O,14,104.06399999999998,,
pdb_2020_generalDC000028,O=C(O)C(=O)O,12,88.018,,
pdb_2020_generalDC000029,O=C(O)c1cccs1,13,124.11999999999998,,
pdb_2020_generalDC000030,N=C1C=CN(CC(CO)OCP(=O)(O)O)C(=O)N1,34,265.077,,
