ligand_id,smiles,smiles_length,mw,cid,inchi
pdb_2020_refinedDC000001,C[NH+](C)CCCCC([NH3+])C(=O)O,28,156.09999999999997,,
pdb_2020_refinedDC000002,O=P(O)(O)OCC1OC(OP(=O)(O)OP(=O)(O)O)C(O)C1O,43,376.9630000000001,,
pdb_2020_refinedDC000003,CCC1=C(C)NN(c2nnnn2)C1=O,24,184.11800000000002,,
pdb_2020_refinedDC000004,O=C(O)Cc1cccc(O)c1,18,144.08499999999998,,
pdb_2020_refinedDC000005,CC1C=NC(=O)NC1=O,16,120.06699999999998,,
pdb_2020_refinedDC000006,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,34,228.11899999999997,,
pdb_2020_refinedDC000007,C[NH2+]Cc1cccc(-c2cccnc2)c1,27,184.15699999999995,,
pdb_2020_refinedDC000008,Cn1nc(-c2ccc3c(c2)OCO3)cc1N,27,206.14,,
pdb_2020_refinedDC000009,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,38,333.112,,
pdb_2020_refinedDC000010,Cc1ncc(COP(=O)(O)O)c(/C=N/C(CO)C(=O)O)c1O,41,319.10100000000006,,
pdb_2020_refinedDC000011,CC(=O)Nc1ccsc1C(=O)O,20,178.14799999999997,,
pdb_2020_refinedDC000012,CCN1Cc2cc3c(cc2NCCC1=O)OCO3,27,232.15399999999997,,
pdb_2020_refinedDC000013,O=C(O)CC(O)(CC(=O)O)C(=O)O,26,184.05899999999997,,
pdb_2020_refinedDC000014,Cc1ccnc(S)c1,12,118.13999999999999,,
pdb_2020_refinedDC000015,O=S(=O)(O)CCC[NH+]1CC[NH+](CCO)CC1,34,232.17599999999996,,
pdb_2020_refinedDC000016,O=C(O)C(CO)OP(=O)(O)O,21,178.99999999999997,,
pdb_2020_refinedDC000017,[NH3+]C1CCN(C(=O)C2C=C2)CC1,27,152.112,,
pdb_2020_refinedDC000018,CC(=O)c1ccc(N2CC(C(=O)O)CC2=O)cc1,33,234.14599999999996,,
pdb_2020_refinedDC000019,Cn1cnc(CC([NH3+])C(=O)O)c1,26,158.09599999999998,,
pdb_2020_refinedDC000020,OCC1OC(O)C(O)C1O,16,140.04999999999998,,
pdb_2020_refinedDC000021,O=C(O)CCc1ccc2c(c1)OCO2,23,184.10599999999997,,
pdb_2020_refinedDC000022,O=C(O)c1cccc2ccoc12,19,156.09599999999998,,
pdb_2020_refinedDC000023,Cc1cccc(N)c1N,13,112.091,,
pdb_2020_refinedDC000024,CC1OC(=O)C(O)C(O)C1O,20,152.06099999999998,,
pdb_2020_refinedDC000025,N=c1nC(=O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2N1,45,349.11100000000005,,
pdb_2020_refinedDC000026,Cc1ncc(COP(=O)(O)O)c(/C=N/C2(P(=O)(O)O)CCCC2)c1O,48,374.09700000000004,,
pdb_2020_refinedDC000027,CC1OC(O)C(O)C(O)C1O,19,152.06099999999998,,
pdb_2020_refinedDC000028,Nc1ccc(S(=O)(=O)NC(=O)C2C=C2)cc1,32,228.18799999999996,,
pdb_2020_refinedDC000029,O=C(O)Cc1cc(O)ccc1O,19,160.08399999999997,,
pdb_2020_refinedDC000030,Cn1nc(N)cc1-c1cc(Br)c2c(c1)OCO2,31,286.044,,
pdb_2020_refinedDC000031,O=C1OC(CO)C(O)C(O)C1O,21,168.05999999999997,,
pdb_2020_refinedDC000032,CC(C)CC(NC(=O)CNP(=O)(O)CNC(=O)OCc1ccccc1)C(=O)O,48,389.1750000000002,,
pdb_2020_refinedDC000033,O=C(O)CP(=O)(O)O,16,134.99099999999999,,
pdb_2020_refinedDC000034,Cc1ncnc1C[NH+]1CCc2ccccc2C1,27,210.17499999999998,,
pdb_2020_refinedDC000035,[NH3+]CCc1ccccc1,16,110.09499999999998,,
pdb_2020_refinedDC000036,O=C(O)c1cnc2ccccc12,19,154.10399999999998,,
pdb_2020_refinedDC000037,O=C1NC2C(O)C(O)C(O)C(CO)N2C1=O,30,220.09599999999998,,
pdb_2020_refinedDC000038,O=P(O)(O)Cc1ccccc1,18,163.04799999999997,,
pdb_2020_refinedDC000039,O=C(O)c1ccc2c(c1)OCO2,21,160.08399999999997,,
pdb_2020_refinedDC000040,CC(C)SC1OC(CO)C(O)C(O)C1O,25,220.16099999999997,,
pdb_2020_refinedDC000041,Nc1nc2ccccc2s1,14,144.158,,
pdb_2020_refinedDC000042,O=C(O)Cc1ccc(O)cc1,18,144.08499999999998,,
pdb_2020_refinedDC000043,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O,47,412.08300000000014,,
pdb_2020_refinedDC000044,NS(=O)(=O)c1ccccc1,18,150.13799999999998,,
pdb_2020_refinedDC000045,CCC(C)(/N=C/c1c(COP(=O)(O)O)cnc(C)c1O)P(=O)(O)O,47,362.08600000000007,,
pdb_2020_refinedDC000046,O=C(O)C1CC(O)C(O)C(O)C1,23,164.07199999999997,,
pdb_2020_refinedDC000047,O=C(O)CCC(=O)O,14,112.03999999999998,,
pdb_2020_refinedDC000048,Nc1cc(C(F)(F)F)cc(Br)c1N,24,248.98899999999995,,
pdb_2020_refinedDC000049,OC1C2CCC(O)([NH2+]2)C(O)C1O,27,162.07999999999996,,
pdb_2020_refinedDC000050,O=C(O)C1CCCCC1c1nnc(S)n1,24,214.185,,
pdb_2020_refinedDC000051,CC(C)CC([NH3+])CO,17,102.07199999999997,,
pdb_2020_refinedDC000052,O=C1C=C(Nc2nnnn2)CCC1,21,170.111,,
pdb_2020_refinedDC000053,C=CCOC1OC(CO)C(OC)C(O)C1O,25,216.10399999999996,,
pdb_2020_refinedDC000054,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1OP(=O)(O)O,38,333.112,,
pdb_2020_refinedDC000055,Cc1ncc(C[n+]2c(C(O)/C=C/c3cccnc3)sc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,68,532.2620000000002,,
pdb_2020_refinedDC000056,Nc1c(-c2nnnn2)cnn1-c1ccc(Cl)cc1Cl,33,289.065,,
pdb_2020_refinedDC000057,CC(=O)NC(C(O)CC(O)C(=O)O)C(O)C(O)C(O)CO,39,290.11899999999997,,
pdb_2020_refinedDC000058,CC(=O)NCCSSCCNC(=O)C1CCC(NC(=O)c2nccnc2C(=O)O)CC1,49,442.3730000000002,,
pdb_2020_refinedDC000059,CC(=O)NC(CCCC[NH3+])C(=O)NC(C[NH2+]C(C(=O)NC(Cc1ccccc1)C(N)=O)C(C)O)COCc1cccnc1,79,554.3730000000003,,
pdb_2020_refinedDC000060,NC(=O)C(CCCC[NH3+])[NH2+]Cc1ccc(-c2cccnc2)cc1,45,288.225,,
pdb_2020_refinedDC000061,[NH3+]C(Cc1cncn1)C(=O)O,23,146.08499999999998,,
pdb_2020_refinedDC000062,C[N+](C)(C)CCO,14,90.06099999999999,,
pdb_2020_refinedDC000063,Nc1nccn1,8,78.054,,
pdb_2020_refinedDC000064,O=C(O)c1ccc2nsnc2c1,19,176.15599999999998,,
pdb_2020_refinedDC000065,O=C(O)c1cc2cc(Cl)ccc2n1,23,189.55699999999996,,
pdb_2020_refinedDC000066,[NH3+]CCCc1ccccc1,17,122.10599999999998,,
pdb_2020_refinedDC000067,[NH3+]CC(O)c1ccc(O)c(O)c1,25,158.09199999999998,,
pdb_2020_refinedDC000068,[NH3+]CC(=O)Nc1nccs1,20,150.142,,
pdb_2020_refinedDC000069,O=C(O)c1ccccc1,14,116.07499999999997,,
pdb_2020_refinedDC000070,CC(O)C(NC(=O)CNC(=O)C(CCCC[NH3+])[NH2+]Cc1ccc(-c2cccnc2)cc1)C(O)[NH2+]C(Cc1ccccc1)C(N)=O,88,574.4070000000002,,
pdb_2020_refinedDC000071,Nc1ccccn1,9,88.06899999999999,,
pdb_2020_refinedDC000072,CN(C)S(=O)(=O)c1ccsc1,21,182.20499999999998,,
pdb_2020_refinedDC000073,CC12CCC(C(=O)O)(OC1=O)C2(C)C,28,184.10599999999997,,
pdb_2020_refinedDC000074,O=C(O)Cc1ccc(O)c(O)c1,21,160.08399999999997,,
pdb_2020_refinedDC000075,O=C(O)C1CC1C(=O)Nc1cc(F)ccc1F,29,232.12099999999995,,
pdb_2020_refinedDC000076,CCC1C(=O)N(c2nnnn2)N=C1C,24,184.11800000000002,,
pdb_2020_refinedDC000077,Nc1ncc(CCC([NH3+])C(=O)O)n1,27,172.10299999999998,,
pdb_2020_refinedDC000078,N=c1nC(=O)N(C2OC(COP(=O)(O)O)C(O)C2O)C=C1,41,309.086,,
pdb_2020_refinedDC000079,Nc1ccc(S(=O)(=O)N2CCCCC2=O)cc1,30,240.19899999999996,,
